#pos_m1, pos_m2, pos_m3 [mm]
96.00001, 25.00003, 25.00003
96.000043, 25.000004, 25.000004
96.000043, 25.000004, 25.000004
96.00001, 25.000004, 27.300222
95.5, 25.000004, 27.300045
95.5, 25.000004, 27.249956
94.999991, 25.000004, 27.249981
94.999991, 25.000004, 27.200035
94.499981, 25.000004, 27.200018
94.499981, 25.000004, 27.149954
93.999971, 25.000004, 27.149987
93.999971, 25.000004, 27.100041
93.499961, 25.000004, 27.100033
93.499961, 25.000004, 27.049977
92.999948, 25.000004, 27.050003
92.999948, 25.000004, 27.00004
92.499938, 25.000004, 27.000031
92.499938, 25.000004, 26.949984
91.999928, 25.000004, 26.950009
91.999928, 25.000004, 26.900029
91.499918, 25.000004, 26.900029
91.499918, 25.000004, 26.850007
90.999908, 25.000004, 26.850024
90.999908, 25.000004, 26.800028
90.499898, 25.000004, 26.800028
90.499898, 25.000004, 26.750014
89.999889, 25.000004, 26.750023
89.999889, 25.000004, 26.700034
89.499878, 25.000004, 26.700034
89.499878, 25.000004, 26.650029
88.999869, 25.000004, 26.650029
88.999869, 25.000004, 26.600041
88.499859, 25.000004, 26.600041
88.499859, 25.000004, 26.550027
87.999849, 25.000004, 26.550036
87.999849, 25.000004, 26.500065
87.499839, 25.000004, 26.500065
87.499839, 25.000004, 26.450017
86.999826, 25.000004, 26.450043
86.999826, 25.000004, 26.40008
86.499816, 25.000004, 26.400071
86.499816, 25.000004, 26.350015
96.00001, 25.000004, 26.350066
96.00001, 25.000004, 26.350066
96.00001, 25.000004, 27.300273
95.5, 25.000004, 27.30007
95.5, 25.000004, 27.249964
94.999991, 25.000004, 27.249989
94.999991, 25.000004, 27.200026
94.499981, 25.000004, 27.200018
94.499981, 25.000004, 27.149962
93.999971, 25.000004, 27.149987
93.999971, 25.000004, 27.100033
93.499961, 25.000004, 27.100025
93.499961, 25.000004, 27.049986
92.999948, 25.000004, 27.050003
92.999948, 25.000004, 27.000031
96.00001, 25.000004, 27.000023
96.00001, 25.000004, 27.000023
96.00001, 25.000004, 27.300138
95.5, 25.000004, 27.300045
95.5, 25.000004, 27.249956
94.999991, 25.000004, 27.249989
94.999991, 25.000004, 27.200035
94.499981, 25.000004, 27.200018
94.499981, 25.000004, 27.149954
93.999971, 25.000004, 27.149979
93.999971, 25.000004, 27.100033
93.499961, 25.000004, 27.100025
96.000438, 25.000004, 27.100016
96.000306, 25.000004, 27.100016
96.00001, 25.000004, 27.300087
95.5, 25.000004, 27.300028
95.5, 25.000004, 27.249956
94.999991, 25.000004, 27.249981
94.999991, 25.000004, 27.200035
94.499981, 25.000004, 27.200018
94.499981, 25.000004, 27.149954
93.999971, 25.000004, 27.149987
93.999971, 25.000004, 27.100033
93.499961, 25.000004, 27.100033
93.499961, 25.000004, 27.049986
92.999948, 25.000004, 27.050003
92.999948, 25.000004, 27.000031
92.499938, 25.000004, 27.000031
92.499938, 25.000004, 26.949992
91.999928, 25.000004, 26.950009
91.999928, 25.000004, 26.900029
91.499918, 25.000004, 26.900029
91.499918, 25.000004, 26.850007
90.999908, 25.000004, 26.850024
90.999908, 25.000004, 26.800019
90.499898, 25.000004, 26.800028
90.499898, 25.000004, 26.750031
89.999889, 25.000004, 26.750031
89.999889, 25.000004, 26.700017
89.499878, 25.000004, 26.700026
89.499878, 25.000004, 26.650055
88.999869, 25.000004, 26.650046
88.999869, 25.000004, 26.600007
88.499859, 25.000004, 26.600033
88.499859, 25.000004, 26.550061
87.999849, 25.000004, 26.550061
87.999849, 25.000004, 26.500022
87.499839, 25.000004, 26.500039
87.499839, 25.000004, 26.450068
86.999826, 25.000004, 26.450068
86.999826, 25.000004, 26.400029
86.499816, 25.000004, 26.400046
86.499816, 25.000004, 26.350066
